"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-01","61",",,7","50",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-02","57",",,7","49",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-03","57",",,7","48",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-04","59",",,7","55",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-05","61",",,7","53",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-06","62",",,7","46",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-07","68",",,7","52",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-08","65",",,7","49",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-09","61",",,7","50",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-10","59",",,7","53",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-11","63",",,7","47",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-12","71",",,7","51",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-13","68",",,7","55",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-14","64",",,7","50",",,7","51",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-15","59",",,7","50",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-16","60",",,7","48",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-17","59",",,7","43",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-18","61",",,7","45",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-19","58",",,7","44",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-20","60",",,7","46",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-21","64",",,7","45",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-22","62",",,7","44",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-23","66",",,7","49",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-24","67",",,7","46",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-25","72",",,7","48",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-26","67",",,7","52",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-27","69",",,7","52",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-28","63",",,7","48",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-29","59",",,7","51",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-30","58",",,7","46",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-31","63",",,7","47",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-01","67",",,7","48",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-02","70",",,7","50",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-03","71",",,7","54",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-04","69",",,7","52",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-05","65",",,7","52",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-06","67",",,7","51",",,7","67",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-07","67",",,7","50",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-08","71",",,7","52",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-09","77",",,7","54",",,7","74",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-10","78",",,7","59",",,7","70",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-11","70",",,7","49",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-12","57",",,7","45",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-13","61",",,7","47",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-14","59",",,7","48",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-15","62",",,7","43",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-16","62",",,7","45",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-17","68",",,7","49",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-18","67",",,7","51",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-19","67",",,7","47",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-20","71",",,7","49",",,7","66",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-21","66",",,7","49",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-22","57",",,7","45",",,7","53",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-23","53",",,7","42",",,7","49",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-24","52",",,7","43",",,7","52",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-25","53",",,7","43",",,7","43",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-26","56",",,7","40",",,7","53",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-27","53",",,7","44",",,7","52",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-28","56",",,7","44",",,7","53",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-01","55",",,7","47",",,7","52",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-02","62",",,7","44",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-03","60",",,7","43",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-04","59",",,7","45",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-05","58",",,7","46",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-06","59",",,7","46",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-07","59",",,7","43",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-08","62",",,7","45",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-09","63",",,7","45",",,7","60",",,7,1600"
